Date,No of Tourist
2010-01-01,165247
2010-02-01,155554
2010-03-01,176551
2010-04-01,351393
2010-05-01,360096
2010-06-01,398452
2010-07-01,180467
2010-08-01,119569
2010-09-01,185243
2010-10-01,122819
2010-11-01,101540
2010-12-01,168633
2011-01-01,183556
2011-02-01,174609
2011-03-01,198760
2011-04-01,395110
2011-05-01,390553
2011-06-01,432559
2011-07-01,197096
2011-08-01,222870
2011-09-01,207944
2011-10-01,154716
2011-11-01,103267
2011-12-01,157230
2012-01-01,198866
2012-02-01,180290
2012-03-01,192286
2012-04-01,347568
2012-05-01,434490
2012-06-01,463945
2012-07-01,213647
2012-08-01,278333
2012-09-01,214897
2012-10-01,231647
2012-11-01,170239
2012-12-01,269124
2013-01-01,220746
2013-02-01,190874
2013-03-01,215637
2013-04-01,376256
2013-05-01,442126
2013-06-01,137419
2013-07-01,182402
2013-08-01,219114
2013-09-01,238410
2013-10-01,270150
2013-11-01,190319
2013-12-01,309538
2014-01-01,231510
2014-02-01,200813
2014-03-01,218019
2014-04-01,380978
2014-05-01,451237
2014-06-01,231257
2014-07-01,196701
2014-08-01,240662
2014-09-01,257091
2014-10-01,288172
2014-11-01,209741
2014-12-01,287456
2015-01-01,246944
2015-02-01,207573
2015-03-01,235077
2015-04-01,395791
2015-05-01,462365
2015-06-01,248030
2015-07-01,212940
2015-08-01,259096
2015-09-01,273451
2015-10-01,295632
2015-11-01,175189
2015-12-01,249064
2016-01-01,255759
2016-02-01,212483
2016-03-01,243450
2016-04-01,314371
2016-05-01,408469
2016-06-01,477463
2016-07-01,219783
2016-08-01,264304
2016-09-01,285020
2016-10-01,308211
2016-11-01,167776
2016-12-01,259540
2017-01-01,264088
2017-02-01,221912
2017-03-01,251644
2017-04-01,324610
2017-05-01,421809
2017-06-01,482357
2017-07-01,229798
2017-08-01,275501
2017-09-01,299945
2017-10-01,221814
2017-11-01,127237
2017-12-01,198114
2018-01-01,230893
2018-02-01,189380
2018-03-01,228146
2018-04-01,288253
2018-05-01,385955
2018-06-01,391246
2018-07-01,194783
2018-08-01,236279
2018-09-01,262856
2018-10-01,188542
2018-11-01,106292
2018-12-01,169388
2019-01-01,239920
2019-02-01,195497
2019-03-01,234169
2019-04-01,297506
2019-05-01,404056
2019-06-01,415386
2019-07-01,203490
2019-08-01,245636
2019-09-01,277102
2019-10-01,204817
2019-11-01,124246
2019-12-01,188421
2020-01-01,259681
2020-02-01,126610
2020-03-01,57685
2020-04-01,23
2020-05-01,23
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,22727
2020-10-01,31182
2020-11-01,26185
2020-12-01,75086
2021-01-01,81296
2021-02-01,49773
2021-03-01,62271
2021-04-01,27245
2021-05-01,8161
2021-06-01,87316
2021-07-01,115256
2021-08-01,45166
2021-09-01,59869
2021-10-01,73746
2021-11-01,113247
2021-12-01,228446
2022-01-01,223327
2022-02-01,209521
2022-03-01,261218
2022-04-01,293821
2022-05-01,352817
2022-06-01,386845
2022-07-01,128342
2022-08-01,121224
2022-09-01,118791
2022-10-01,132786
2022-11-01,126147
2022-12-01,210430
